name,email,password,is_admin,is_owner
taro,taro@email.com,taro@email.com,FALSE,FALSE
hanako,hanako@email.com,hanako@email.com,FALSE,FALSE
misa,misa@email.com,misa@email.com,FALSE,FALSE
rintaro,rintaro@email.com,rintaro@email.com,FALSE,FALSE
natsu,natsu@email.com,natsu@email.com,FALSE,FALSE
chiduru,chiduru@email.com,chiduru@email.com,FALSE,FALSE
hisahumi,hisahumi@email.com,hisahumi@email.com,FALSE,FALSE
yoshimi,yoshimi@email.com,yoshimi@email.com,FALSE,FALSE
atsushi,atsushi@email.com,atsushi@email.com,FALSE,FALSE
minami,minami@email.com,minami@email.com,FALSE,FALSE
akiho,akiho@email.com,akiho@email.com,FALSE,TRUE
hirotada,hirotada@email.com,hirotada@email.com,FALSE,TRUE
noboru,noboru@email.com,noboru@email.com,FALSE,TRUE
makiko,makiko@email.com,makiko@email.com,FALSE,TRUE
kentaro,kentaro@email.com,kentaro@email.com,FALSE,TRUE
shinichi,shinichi@email.com,shinichi@email.com,FALSE,TRUE
masaya,masaya@email.com,masaya@email.com,FALSE,TRUE
shigeyuki,shigeyuki@email.com,shigeyuki@email.com,FALSE,TRUE
riku,riku@email.com,riku@email.com,FALSE,TRUE
hisanori,hisanori@email.com,hisanori@email.com,FALSE,TRUE
admin,admin@email.com,admin@email.com,TRUE,TRUE
